motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,log2FC,qvalues,-log10-qvalues
916,103840,444160,19935047,PRDM16,0.39592106925126996,1.5526575553844387e-235,-1.3367152513245533,3.127495932988655e-234,233.5048032463929
185,12982,444891,20025905,PRDM4,0.6414586338806834,1.4328590133052065e-10,-0.6405718624943455,2.573670329631008e-10,9.589447084157172
1650,80218,443426,19958669,PRDM5,0.9258114251074656,0.0018648040388907431,-0.11120972836451791,0.0024459290184520445,2.611556150464857
665,32431,444411,20006456,PRDM9,0.92309557345345,0.041557955027082295,-0.11544806867486745,0.05073308795513942,1.2947087028104693
67,3520,445009,20035367,PROX1,0.8569601892883065,0.2288400560185041,-0.222699910445036,0.2540665188866857,0.59505256289457
847,80326,444229,19958561,RBPJ,0.47375039877847175,5.298710614848755e-133,-1.0778009372173925,4.820117398023706e-132,131.31694238402403
637,76604,444439,19962283,REL-halfsite,0.37349606545460196,7.290997013565991e-190,-1.4208350496748103,1.0280305789128046e-188,187.98799396699874
1438,61332,443638,19977555,REST/NRSF,1.0558089892174307,0.04385323996056392,0.07834885436061867,0.05307559514540355,1.2751051273189948
1957,104814,443119,19934073,RFX/1,0.8399379476414169,4.793384686211308e-15,-0.2516453454921162,9.519256912053444e-15,14.021396951992669
292,18099,444784,20020788,RFX/2,0.7262067513885329,1.3892025973566141e-08,-0.46154775226028727,2.290965686868802e-08,7.639981415444009
1240,77182,443836,19961705,RFX/3,0.7225713949223467,7.202673563802325e-33,-0.46878795224062686,2.2077760271654952e-32,31.65604498669458
1540,104944,443536,19933943,RUNX/1,0.659519200856476,3.012182742362081e-67,-0.6005134330190643,1.665559869306092e-66,65.7784397517798
577,27466,444499,20011421,RUNX/2,0.9457743639718899,0.18964276160251667,-0.08043205805239015,0.213064775983704,0.6714883422160783
160,13239,444916,20025648,SCRT1,0.5439680029060886,2.962439155353913e-17,-0.8784063026145897,6.328847286437905e-17,16.198675383620365
449,35851,444627,20003036,SIX/1,0.5634367259894129,3.4568470402895106e-40,-0.8276744902161538,1.2185385817020525e-39,38.914160715510825
79,3580,444997,20035307,SIX/2,0.9935345700591818,1.0,-0.009357927930534382,1.0,-0.0
2297,185380,442779,19853507,SMAD,0.5555822159168423,2.5434824307118436e-208,-0.8479276752282656,3.9847891414485554e-207,206.39959465472663
183,14420,444893,20024467,SMARCA1,0.5712039761353517,1.8454352610468903e-16,-0.8079220729244315,3.798633165074621e-16,15.420372644343708
1645,74594,443431,19964293,SMARCA5,0.9928642880166823,0.7842701842575417,-0.010331561812251353,0.8101252452770211,0.09144783404989804
375,45389,444701,19993498,SNAI2,0.3714508279220718,4.260908943124268e-114,-1.4287568531901227,3.3377120054473436e-113,112.47655113914895
1976,118201,443100,19920686,SOX/1,0.7515680844996805,1.7109285299826726e-39,-0.4120242911837657,5.8130342825917316e-39,38.23559711576776
134,16965,444942,20021922,SOX/2,0.3554293578418536,2.5524257746514967e-46,-1.4923652445179432,1.0282629549310315e-45,44.98789581017316
306,24636,444770,20014251,SOX/3,0.558926996654444,9.93053498462799e-29,-0.8392682347929674,2.772684025410983e-28,27.557099619725875
510,25592,444566,20013295,SOX/4,0.8971153771633205,0.014562800381220004,-0.15663455416072397,0.018333525479928753,1.7367540135289379
399,25509,444677,20013378,SOX/5,0.7039716875648051,2.068910463104902e-13,-0.506410687375954,3.9689302761604236e-13,12.401326530456595
262,13799,444814,20025088,SOX/6,0.8547707695190155,0.010876812921758489,-0.22639052169427482,0.013816492089801322,1.859602207281979
39,1941,445037,20036946,SOX/7,0.9046372779751057,0.5895743385609413,-0.14458864762275292,0.6226964924126797,0.2057235806092703
164,10124,444912,20028763,SOX/8,0.7292420774569964,3.102121293362928e-05,-0.4555302872306073,4.463256146573192e-05,4.350348188254449
252,13926,444824,20024961,SPDEF/1,0.8146247820001529,0.0010130349562984687,-0.2957923911219089,0.001353914017422598,2.8684089153736263
210,10111,444866,20028776,SPDEF/2,0.9350834679503701,0.3617570769492354,-0.0968329454769632,0.3954088980607922,0.4029535617921481
1430,90238,443646,19948649,SPI,0.7125633728032016,5.790825707004449e-41,-0.48890976694975796,2.0671048726269046e-40,39.684637489290566
178,11588,444898,20027299,SPZ1,0.6914701615261895,2.85651094072471e-07,-0.5322610976648616,4.5002015937674204e-07,6.346768030869156
2221,130550,442855,19908337,SREBF1,0.7647951297835779,7.013721743389036e-39,-0.3868547586234233,2.3269053313361273e-38,37.63322128534871
272,18067,444804,20020820,SRF,0.6776353232166875,1.4606058791202587e-11,-0.5614190146368149,2.6573603736252448e-11,10.575549545452697
