motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
1859,58936,479122,19979951,NR/15,1.3153672929247107,7.757168067443823e-29,2.025482773165887e-28,27.693471446161364,0.3954657027059673
3187,144600,477794,19894287,NR/16,0.9177015341009565,1.351172362245695e-06,1.944033704863704e-06,5.711296209723825,-0.12390307554731403
1974,95452,479007,19943435,NR/17,0.861033835064859,1.9520725587366567e-11,3.33626946402265e-11,10.47673887949354,-0.21585816420928503
3059,113921,477922,19924966,NR/18,1.1194797824549703,1.557872456744746e-09,2.4961365500114678e-09,8.60273166045821,0.16282847368820302
2149,135309,478832,19903578,NR/19,0.6601729414362421,2.1559652162071278e-92,1.2666295645216876e-91,90.89735037928139,-0.5990840869778493
166,15218,480815,20023669,NR/2,0.45427219765003773,9.379516912277105e-31,2.5432920858289844e-30,29.594603760162734,-1.1383710825585345
628,34968,480353,20003919,NR/20,0.7478998225740018,5.100067677789915e-14,9.400124739455922e-14,13.0268663832835,-0.4190830535906207
9147,327683,471834,19711204,NR/3,1.1661346181755403,9.895249323576805e-45,3.1005114547207323e-44,43.50856665982975,0.22173434236679274
243,14842,480738,20024045,NR/4,0.6819573375985628,3.9411779128166746e-10,6.424347811643364e-10,9.192170954561814,-0.5522466060193734
241,10945,480740,20027942,NR/5,0.9173336876168503,0.19985720437391383,0.22015520169313946,0.6572710488374834,-0.1244814734976704
82,6015,480899,20032872,NR/6,0.5678943695328231,3.331792717491951e-08,5.134237958102351e-08,7.289524006818475,-0.8163054868529599
999,57184,479982,19981703,NR/7,0.7272747435770517,1.0502663861521512e-25,2.5754358338687536e-25,24.589149265951864,-0.4594276188884983
247,11037,480734,20027850,NR/8,0.9323423291130152,0.2899461945639433,0.3144801033347385,0.5024068264835048,-0.10106832688117529
140,7639,480841,20031248,NR/9,0.7634806627159773,0.0011028832954446811,0.001426665547318349,2.8456778264497067,-0.38933647769111096
34,4831,480947,20034056,NR2E3,0.2931659604365638,1.1974285800184058e-18,2.4647799968262076e-18,17.608221839238038,-1.770210493326499
2665,120306,478316,19918581,NRF1,0.9224724687331093,3.3241163467032705e-05,4.5285063273928615e-05,4.344045021108836,-0.11642224042426735
483,26719,480498,20012168,OCT4+SOX2,0.7528864595489384,1.1716885383516836e-10,1.9436245165598516e-10,9.711387631455345,-0.40949578191110025
836,56935,480145,19981952,OSR2,0.611072096852918,6.475055046227596e-53,2.402586214521292e-52,51.619321019135356,-0.7105854895799594
54,3804,480927,20035083,OVOL1,0.5913781001765261,3.9658112704934136e-05,5.376724895572802e-05,4.269482183978744,-0.7578472761023094
1293,56913,479688,19981974,P53-like/1,0.9463822396739632,0.05140542291076991,0.059655675970523105,1.2243482288518954,-0.07950509535877498
151,6606,480830,20032281,P53-like/2,0.952307544838594,0.6009787970495264,0.620791284864346,0.2070543886601311,-0.07050053210933832
244,9621,480737,20029266,P53-like/3,1.0566401210452023,0.3868380957238796,0.41321342043232595,0.3838255818158861,0.0794840957468346
121,8335,480860,20030552,PAX-halfsite,0.6047195814757108,3.3669702798952297e-09,5.304388932572373e-09,8.275364639754613,-0.7256617991118681
616,31123,480365,20007764,PAX/1,0.824378124368559,1.1360793269762804e-06,1.6429454882426208e-06,5.784376845906491,-0.2786218727415464
3200,116422,477781,19922465,PAX/2,1.1461174373155631,1.0915574559196913e-13,1.998825990710084e-13,12.699225012066861,0.19675487791010868
3171,90902,477810,19947985,PLAG1,1.4563528219594926,1.2592737619363814e-85,6.829138478193454e-85,84.16563408076446,0.5423599110505763
336,33957,480645,20004930,POU/1,0.4118343526906128,3.0049685331937134e-79,1.5692613451122726e-78,77.80430472289592,-1.2798639191442072
206,16444,480775,20022443,POU/2,0.5217169440086884,5.7862766371677e-25,1.3946410356250353e-24,23.85553756035344,-0.9386608057801925
352,28694,480629,20010193,POU/3,0.510731771765458,1.2705009666881364e-44,3.937156841824774e-44,43.40481728417287,-0.9693622854107233
1326,59753,479655,19979134,PRDM1,0.9243394593584454,0.004518578103540925,0.005765787444337289,2.239141371911898,-0.11350532290478574
